,user_id,comment,time,date,rating
0,user_1,"Este local vegetariano tiene muy buen ambiente y el personal es muy agradable y servicial. La comida está deliciosa porque el sabor es muy bueno.
No obstante, no pongo 5 estrellas debido a que el precio me parece elevado para…",Hace 2 meses,2024-10-22,3 estrellas
1,user_2,"Hacia mucho tiempo que no veniamos y no ha cambiado nada la calidad de la comida, estaba deliciosa.
No obstante no le pongo 5 estrellas porque las lentejas al curry estaban un poco duras , y no se si ese fue el motivo de que tuviésemos una digestión llamémoslo ""complicada"".",Hace 2 meses,2024-10-22,4 estrellas
2,user_3,"Pedimos tres tipo tostadas porque queríamos probar varias, tostá de Hummus, tostá de huevo y aguacate y queso con aguacate, que estaban muy buenas y las vistas son preciosas frente al puerto.

Pedí cafe con leche sin lactosa, a lo que el chico me informó que no disponía de leche sin lactosa, solo leche entera o de avena.

Aunque no me gusta la leche de avena y debido a mi intolerancia lo pedí, y en vaso porque lo prefiero antes que la taza, para mi sopresa nos cobraron 10cnt más por la leche de avena y un suplemento por el vaso, lo que me pareció bastante feo.

Un desayuno bastante caro",Hace 3 meses,2024-09-22,3 estrellas
3,user_4,"Local vegetariano, muy tranquilo, con terraza, ubicado en el puerto de Hondarribia. La comida está exquisita, comimos el menú del día que tienen (20,50€) y todo estaba delicioso. Cambian el menu cada semana. Parada obligatoria si quieres degustar platos vegetarianos.",Hace 7 meses,2024-05-22,5 estrellas
4,user_5,"Desayuno exquisito. Uno de los mejores que hemos probado. A destacar el smoothie y la tostada con crema de cacahuete, plátano y chocolate, espectacular.",Hace 4 meses,2024-08-22,5 estrellas
5,user_6,"La comida muy bien, todo muy rico, pero el problema es que desde que te sientas hasta que acabas de comer, tardan mucho, puede que haya sido solo cosa de hoy, pero desde que llegan los entrantes y de los entrantes pasamos al principal... He tenido mis dudas de si poner 5 estrellas porque de verdad, hemos tardado mucho en comer, pero es cierto que la comida está muy buena.

Así que si nos quedamos con lo bueno, la comida merece la pena, es una muy buena opción para los vegetarianos y está muy bien ubicado.",Hace un año,2023-12-22,5 estrellas
6,user_7,"Qué pena. Amaba este sitio. Han hecho varios cambios y en mi opinión para mucho peor. Ahora solo hay menú cerrado y 4 cosas para picar, por lo que variedad se reduce muchísimo. Pero lo peor es que las raciones son ridículas. Te quedas con hambre. Y eso que pedimos un entrante a parte! Además, la presentación de los platos ha bajado mucho. Todo es más sencillo. Imagino que genial para la preparación y rendimiento económico. Pero el resultado es algo mucho más mediocre.",Hace un mes,2024-11-22,2 estrellas
7,user_8,"Hemos ido a desayunar y hemos pedido dos cafés, una tosta de aguacate queso y huevo poché, una tostada de crema de cacahuete y plátano y un trozo de tarta de zanahoria. La verdad es que todo muy rico pero el camarero bastante empanado. Tienen cosas en carta que luego no hay pero no se aclara mucho. El servicio algo lento también. Pero en general positivo. Para repetir. Las mezclas de sabores son brutales.",Hace un año,2023-12-22,4 estrellas
8,user_9,"Muy recomendable.

Tienen una carta con sentido y un servicio muy profesional del equipo. Atención muy buena y rápida a pesar de estar lleno.

Pedimos dos croquetas. Notables.
Gazpacho y berenjena (esta última muy buena salsa y combinación con el arroz)
Y de principales arroz chaufa y fideua vegana. Esta última muy bien conseguida.

De postre la tarta vegana era grande y contundente, sin ser empalagosa.

Acabamos encantados, y lo recomendamos encarecidamente.

Enhorabuena al restaurante, da gusto encontrar restaurantes vegetarianos dignos y a un precio razonable. 5/5 sin duda.",Hace 2 años,2022-12-22,5 estrellas
9,user_10,"Menú cerrado por 18€ en la terraza.
Ensalada de espinacas etc demasiado queso y muy poco vegetal. Le falta más espinacas y más lechuga. El queso se puede reducir a fina lluvia o lo retira el cliente si así lo desea.
Lasaña de berenjena. Inicialmente nos parecía muy grasosa, pero al degustarla no es así.
Arroz con leche de coco y mermelada de mango con una fina ralladura de Lima. Delicíoso.
Los baños están limpios.
La decoración del local muy apropiada.",Hace 2 años,2022-12-22,4 estrellas
